id,domain,concept,definition_query,application_query,expected_answer
241,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
242,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
243,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
244,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
245,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
246,Scientific Concepts,acid,Define a acid.,Is a hydrochloric acid a acid?,yes
247,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
248,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
249,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
250,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
251,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
252,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
253,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
254,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
255,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
256,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
257,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
258,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
259,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
260,Procedural Concepts,algorithm,Define a algorithm.,Is a search procedure a algorithm?,yes
261,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
262,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
263,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
264,Common Nouns,vehicle,Define a vehicle.,Is a car a vehicle?,yes
265,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
266,Common Nouns,vehicle,Define a vehicle.,Is a bus a vehicle?,yes
267,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
268,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
269,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
270,Common Nouns,vehicle,Define a vehicle.,Does a bus qualify as a vehicle?,yes
271,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
272,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
273,Procedural Concepts,algorithm,Define a algorithm.,Does a random guessing qualify as a algorithm?,no
274,Common Nouns,bird,Define a bird.,Does a sparrow qualify as a bird?,yes
275,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
276,Scientific Concepts,mammal,Define a mammal.,Is a whale a mammal?,yes
277,Common Nouns,bird,Define a bird.,Does a sparrow qualify as a bird?,yes
278,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
279,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
280,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
281,Common Nouns,bird,Define a bird.,Is a cat a bird?,no
282,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
283,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
284,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
285,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
286,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
287,Common Nouns,bird,Define a bird.,Does a eagle qualify as a bird?,yes
288,Scientific Concepts,mammal,Define a mammal.,Does a dog qualify as a mammal?,yes
289,Scientific Concepts,mammal,Define a mammal.,Does a snake qualify as a mammal?,no
290,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
291,Common Nouns,vehicle,Define a vehicle.,Is a tree a vehicle?,no
292,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
293,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
294,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
295,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
296,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
297,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
298,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
299,Procedural Concepts,protocol,Define a protocol.,Does a TCP qualify as a protocol?,yes
300,Scientific Concepts,acid,Define a acid.,Does a water qualify as a acid?,no
301,Common Nouns,fruit,Define a fruit.,Is a chair a fruit?,no
302,Procedural Concepts,algorithm,Define a algorithm.,Does a infinite loop qualify as a algorithm?,no
303,Common Nouns,fruit,Define a fruit.,Does a banana qualify as a fruit?,yes
304,Scientific Concepts,acid,Define a acid.,Does a salt qualify as a acid?,no
305,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
306,Scientific Concepts,acid,Define a acid.,Is a salt a acid?,no
307,Scientific Concepts,mammal,Define a mammal.,Does a whale qualify as a mammal?,yes
308,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
309,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
310,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
311,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
312,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
313,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
314,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
315,Scientific Concepts,mammal,Define a mammal.,Is a snake a mammal?,no
316,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
317,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
318,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
319,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
320,Procedural Concepts,algorithm,Define a algorithm.,Is a infinite loop a algorithm?,no
321,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
322,Procedural Concepts,algorithm,Define a algorithm.,Is a sorting algorithm a algorithm?,yes
323,Common Nouns,bird,Define a bird.,Does a cat qualify as a bird?,no
324,Procedural Concepts,algorithm,Define a algorithm.,Does a sorting algorithm qualify as a algorithm?,yes
325,Procedural Concepts,protocol,Define a protocol.,Is a TCP a protocol?,yes
326,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
327,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
328,Procedural Concepts,protocol,Define a protocol.,Does a emotion qualify as a protocol?,no
329,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
330,Procedural Concepts,algorithm,Define a algorithm.,Does a search procedure qualify as a algorithm?,yes
331,Common Nouns,fruit,Define a fruit.,Is a rock a fruit?,no
332,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
333,Common Nouns,bird,Define a bird.,Does a lizard qualify as a bird?,no
334,Scientific Concepts,acid,Define a acid.,Does a sulfuric acid qualify as a acid?,yes
335,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
336,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
337,Procedural Concepts,protocol,Define a protocol.,Is a weather a protocol?,no
338,Common Nouns,bird,Define a bird.,Is a lizard a bird?,no
339,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
340,Common Nouns,fruit,Define a fruit.,Does a apple qualify as a fruit?,yes
341,Common Nouns,bird,Define a bird.,Is a sparrow a bird?,yes
342,Scientific Concepts,mammal,Define a mammal.,Is a frog a mammal?,no
343,Common Nouns,fruit,Define a fruit.,Does a rock qualify as a fruit?,no
344,Common Nouns,fruit,Define a fruit.,Is a apple a fruit?,yes
345,Common Nouns,vehicle,Define a vehicle.,Does a house qualify as a vehicle?,no
346,Procedural Concepts,protocol,Define a protocol.,Does a HTTP qualify as a protocol?,yes
347,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
348,Common Nouns,fruit,Define a fruit.,Does a chair qualify as a fruit?,no
349,Scientific Concepts,acid,Define a acid.,Is a sulfuric acid a acid?,yes
350,Scientific Concepts,acid,Define a acid.,Does a hydrochloric acid qualify as a acid?,yes
351,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
352,Procedural Concepts,algorithm,Define a algorithm.,Is a random guessing a algorithm?,no
353,Common Nouns,fruit,Define a fruit.,Is a banana a fruit?,yes
354,Scientific Concepts,mammal,Define a mammal.,Is a dog a mammal?,yes
355,Procedural Concepts,protocol,Define a protocol.,Does a weather qualify as a protocol?,no
356,Procedural Concepts,protocol,Define a protocol.,Is a emotion a protocol?,no
357,Procedural Concepts,protocol,Define a protocol.,Is a HTTP a protocol?,yes
358,Scientific Concepts,acid,Define a acid.,Is a water a acid?,no
