id,domain,concept,definition_query,application_query,expected_answer
79,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
80,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
81,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
82,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
83,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
84,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
85,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
86,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
87,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
88,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
89,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
90,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
91,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
92,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
93,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
94,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
95,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
96,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
97,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
98,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
99,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
100,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
101,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
102,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
103,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
104,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
105,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
106,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
107,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
108,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
109,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
110,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
111,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
112,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
113,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
114,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
115,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
116,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
117,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
118,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
119,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
120,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
121,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
122,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
123,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
124,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
125,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
126,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
127,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
128,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
129,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
130,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
131,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
132,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
133,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
134,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
135,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
136,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
137,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
138,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
139,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
140,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
141,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
142,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
143,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
144,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
145,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
146,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
147,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
148,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
149,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
150,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
151,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
152,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
153,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
154,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
155,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",no
156,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
157,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
158,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
159,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
160,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
161,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
162,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
163,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
164,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
165,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
166,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
167,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",no
168,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
169,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
170,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
171,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
172,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
173,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
174,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
175,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
176,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
177,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
178,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
179,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
180,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
181,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
182,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
183,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
184,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
185,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
186,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
187,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
188,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
189,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
190,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
191,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
192,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
193,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
194,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
195,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
196,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
197,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
198,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
199,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
200,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
201,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
202,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
203,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
204,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
205,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
206,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
207,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
208,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
209,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",no
210,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
211,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
212,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
213,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
214,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
215,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
216,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
217,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
218,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
219,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
220,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
221,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",no
222,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
223,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
224,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
225,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
226,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
227,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
228,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
229,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
230,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
231,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",no
232,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",no
233,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
234,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
235,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
236,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
237,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
238,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
239,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
240,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
241,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",no
242,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
243,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
244,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
245,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
246,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
247,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
248,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
249,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
250,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
251,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
252,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
253,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
254,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
255,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
256,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
257,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
258,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
259,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
260,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
261,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
262,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
263,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
264,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",no
265,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
266,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
267,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
268,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
269,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
270,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
271,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
272,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
273,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
274,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
275,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
276,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
277,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
278,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
279,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
280,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",yes
281,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",no
282,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
283,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
284,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
285,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
286,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
287,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",yes
288,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",no
289,Mathematics & Logic,set,Define the concept of set.,"Based on this definition, does the following satisfy it?",yes
290,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",yes
291,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
292,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
293,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",yes
294,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",yes
295,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",yes
296,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
297,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
298,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
299,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
300,Common Nouns,tool,Define the concept of tool.,"Based on this definition, does the following satisfy it?",yes
301,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
