id,domain,concept,definition_query,application_query,expected_answer,model_answer,normalized_answer,consistent
115,Social & Ethical Concepts,Ethical Behavior,Define dignity by stating a necessary condition that must be satisfied for a person to be treated with dignity.,"According to this definition, is acting according to moral norms ethical behavior?",yes,no,no,False
116,Social & Ethical Concepts,Ethical Behavior,Define what a muscle is.,"According to this definition, is knowingly causing harm ethical behavior?",no,no,no,True
117,Social & Ethical Concepts,Consent,Define what process efficiency is.,"According to this definition, is agreeing voluntarily consent?",yes,yes.,yes,True
118,Social & Ethical Concepts,Consent,Define what a fossil fuel is.,"According to this definition, is forcing agreement consent?",no,no,no,True
119,Social & Ethical Concepts,Human Rights,Define freedom by stating a condition that must be met for an agent to be considered free.,"According to this definition, are basic freedoms considered human rights?",yes,yes.,yes,True
120,Social & Ethical Concepts,Human Rights,Define what a neuron is.,"According to this definition, is denying basic freedoms respecting human rights?",no,no,no,True
121,Procedural Concepts,Algorithm,Define what iteration is.,"According to this definition, is a step-by-step procedure an algorithm?",yes,yes.,yes,True
122,Procedural Concepts,Algorithm,Define exploitation by stating a necessary condition that must be satisfied for an action to count as exploitation.,"According to this definition, is a random guess without steps an algorithm?",no,no.,no,True
123,Procedural Concepts,Protocol,Define autonomy by stating a necessary condition that must be satisfied for an agent to be autonomous.,"According to this definition, is a set of agreed rules a protocol?",yes,yes.,yes,True
124,Procedural Concepts,Protocol,Define what an axiom is.,"According to this definition, is an unstructured action a protocol?",no,no,no,True
125,Procedural Concepts,Procedure,Define what precision is.,"According to this definition, is a sequence of actions a procedure?",yes,yes.,yes,True
126,Procedural Concepts,Procedure,Define accountability by stating a necessary condition that must be satisfied for an agent to be accountable.,"According to this definition, is a single unrelated action a procedure?",no,no.,no,True
127,Procedural Concepts,Workflow,Define what the median is.,"According to this definition, is an ordered set of tasks a workflow?",yes,yes,yes,True
128,Procedural Concepts,Workflow,Define what complexity is.,"According to this definition, is a random collection of tasks a workflow?",no,no.,no,True
129,Procedural Concepts,Method,Define what a vehicle is.,"According to this definition, is a systematic way of doing something a method?",yes,yes.,yes,True
130,Procedural Concepts,Method,Define consent by stating a necessary condition that must be satisfied for consent to be valid.,"According to this definition, is a completely unplanned action a method?",no,no,no,True
131,Procedural Concepts,Rule,Define what photosynthesis is.,"According to this definition, is a guideline that governs behavior a rule?",yes,yes,yes,True
132,Procedural Concepts,Rule,Define what an insect is.,"According to this definition, is a personal preference a rule?",no,no.,no,True
133,Procedural Concepts,Policy,Define what an instruction is.,"According to this definition, is an official plan of action a policy?",yes,yes.,yes,True
134,Procedural Concepts,Policy,Define reciprocity by stating a necessary condition that must be satisfied for reciprocity to occur.,"According to this definition, is an informal suggestion a policy?",no,no.,no,True
135,Procedural Concepts,Standard,Define what a bird is.,"According to this definition, is an agreed level of quality a standard?",yes,yes.,yes,True
136,Procedural Concepts,Standard,Define what an audit is.,"According to this definition, is a personal opinion a standard?",no,no,no,True
137,Procedural Concepts,Checklist,Define what magnetism is.,"According to this definition, is a list of items to verify a checklist?",yes,yes.,yes,True
138,Procedural Concepts,Checklist,Define cooperation by stating a necessary condition that must be satisfied for cooperation to occur.,"According to this definition, is a story without tasks a checklist?",no,no.,no,True
139,Procedural Concepts,Plan,Define what velocity is.,"According to this definition, is a set of intended actions a plan?",yes,yes.,yes,True
140,Procedural Concepts,Plan,Define charity by stating a necessary condition that must be satisfied for an action to count as charity.,"According to this definition, is acting without foresight a plan?",no,no.,no,True
141,Procedural Concepts,Schedule,Define what an appliance is.,"According to this definition, is a timetable of activities a schedule?",yes,yes.,yes,True
142,Procedural Concepts,Schedule,Define what precision is.,"According to this definition, is a spontaneous action a schedule?",no,no,no,True
143,Procedural Concepts,Process,Define what implication is.,"According to this definition, is a series of steps leading to an outcome a process?",yes,yes.,yes,True
144,Procedural Concepts,Process,Define what an emotion is.,"According to this definition, is a single isolated event a process?",no,no.,no,True
145,Procedural Concepts,Guideline,Define what a reptile is.,"According to this definition, is a recommended practice a guideline?",yes,yes.,yes,True
146,Procedural Concepts,Guideline,Define what a vector is.,"According to this definition, is a strict law a guideline?",no,no,no,True
147,Procedural Concepts,Instruction,Define discrimination by stating a necessary condition that must be satisfied for an action to count as discrimination.,"According to this definition, is a directive telling how to do something an instruction?",yes,yes.,yes,True
148,Procedural Concepts,Instruction,Define what an axiom is.,"According to this definition, is a random comment an instruction?",no,no,no,True
149,Procedural Concepts,Manual,Define what logical OR is.,"According to this definition, is a written guide for using something a manual?",yes,yes.,yes,True
150,Procedural Concepts,Manual,Define human rights by stating a necessary condition that must be satisfied for a right to be considered a human right.,"According to this definition, is an unrelated novel a manual?",no,no,no,True
151,Procedural Concepts,Workflow Automation,Define ethical behavior by stating a necessary condition that must be satisfied for behavior to be considered ethical.,"According to this definition, is using software to automate tasks workflow automation?",yes,yes.,yes,True
152,Procedural Concepts,Workflow Automation,Define redundancy by stating a condition that must be met for redundancy to be present.,"According to this definition, is performing tasks entirely by hand workflow automation?",no,no,no,True
153,Procedural Concepts,Quality Control,Define what inspection is.,"According to this definition, is checking products for defects quality control?",yes,yes.,yes,True
154,Procedural Concepts,Quality Control,Define what logical OR is.,"According to this definition, is ignoring defects quality control?",no,no,no,True
155,Procedural Concepts,Decision Procedure,Define freedom by stating a condition that must be met for an agent to be considered free.,"According to this definition, is a systematic method for making decisions a decision procedure?",yes,yes.,yes,True
156,Procedural Concepts,Decision Procedure,Define what debugging is.,"According to this definition, is choosing randomly without criteria a decision procedure?",no,no.,no,True
157,Procedural Concepts,Verification,Define what flexibility is.,"According to this definition, is checking correctness against requirements verification?",yes,yes.,yes,True
158,Procedural Concepts,Verification,Define what a function is.,"According to this definition, is guessing without checking verification?",no,no,no,True
159,Procedural Concepts,Validation,Define what a profession is.,"According to this definition, is confirming that a system meets its intended use validation?",yes,no,no,False
160,Procedural Concepts,Validation,Define what a proportion is.,"According to this definition, is ignoring user needs validation?",no,no,no,True
161,Abstract Properties,Efficiency,Define what a schedule is.,"According to this definition, is efficiency about achieving results with minimal waste?",yes,yes.,yes,True
162,Abstract Properties,Efficiency,Define what a matrix is.,"According to this definition, is inefficiency an example of efficiency?",no,no,no,True
163,Abstract Properties,Reliability,Define what logging is.,"According to this definition, is reliability about consistent performance?",yes,yes,yes,True
164,Abstract Properties,Reliability,Define what an amphibian is.,"According to this definition, is frequent failure reliability?",no,no,no,True
165,Abstract Properties,Accuracy,Define what compilation is.,"According to this definition, is accuracy about correctness?",yes,yes,yes,True
166,Abstract Properties,Accuracy,Define what a rational number is.,"According to this definition, is making frequent errors accuracy?",no,no,no,True
167,Abstract Properties,Stability,Define what parallel lines are.,"According to this definition, is stability about resistance to change?",yes,no,no,False
168,Abstract Properties,Stability,Define discrimination by stating a necessary condition that must be satisfied for an action to count as discrimination.,"According to this definition, is constant fluctuation stability?",no,no,no,True
169,Abstract Properties,Flexibility,Define a social norm by stating a necessary condition that must be satisfied for a rule to count as a social norm.,"According to this definition, is flexibility about ability to adapt?",yes,no,no,False
170,Abstract Properties,Flexibility,Define what a guideline is.,"According to this definition, is rigidity flexibility?",no,no.,no,True
171,Abstract Properties,Robustness,Define what reflection is.,"According to this definition, is robustness about maintaining performance under stress?",yes,yes.,yes,True
172,Abstract Properties,Robustness,Define what quality control is.,"According to this definition, is fragility robustness?",no,no,no,True
173,Abstract Properties,Complexity,Define latency by stating a condition that must be met for latency to be present.,"According to this definition, is complexity related to having many interconnected parts?",yes,yes.,yes,True
174,Abstract Properties,Complexity,Define what logical AND is.,"According to this definition, is simplicity complexity?",no,no,no,True
175,Abstract Properties,Transparency,Define justice by stating at least one necessary condition that must be satisfied for something to count as justice.,"According to this definition, is transparency about openness?",yes,yes.,yes,True
176,Abstract Properties,Transparency,Define what testing is.,"According to this definition, is secrecy transparency?",no,no,no,True
177,Abstract Properties,Scalability,Define what accuracy is.,"According to this definition, is scalability about handling increased workload?",yes,yes,yes,True
178,Abstract Properties,Scalability,Define obligation by stating a necessary condition that must be satisfied for a duty to count as an obligation.,"According to this definition, is inability to grow scalability?",no,yes.,yes,False
179,Abstract Properties,Consistency,Define what a composite number is.,"According to this definition, is consistency about uniform behavior over time?",yes,yes,yes,True
180,Abstract Properties,Consistency,Define what pressure is.,"According to this definition, is contradiction consistency?",no,no.,no,True
181,Abstract Properties,Resilience,Define responsibility by stating a necessary condition that makes an agent responsible for an outcome.,"According to this definition, is resilience about recovery after disruption?",yes,yes.,yes,True
182,Abstract Properties,Resilience,Define what usability is.,"According to this definition, is permanent breakdown resilience?",no,no,no,True
183,Abstract Properties,Maintainability,Define legitimacy by stating a necessary condition that must be satisfied for authority to be legitimate.,"According to this definition, is ease of maintenance maintainability?",yes,yes.,yes,True
184,Abstract Properties,Maintainability,Define human rights by stating a necessary condition that must be satisfied for a right to be considered a human right.,"According to this definition, is difficulty of repair maintainability?",no,no.,no,True
185,Abstract Properties,Usability,Define compliance by stating a condition that must be met for behavior or systems to be compliant.,"According to this definition, is usability about ease of use?",yes,yes,yes,True
186,Abstract Properties,Usability,Define what condensation is.,"According to this definition, is confusion usability?",no,yes.,yes,False
187,Abstract Properties,Performance,Define civility by stating a necessary condition that must be satisfied for behavior to be considered civil.,"According to this definition, is performance about how well something functions?",yes,yes,yes,True
188,Abstract Properties,Performance,Define legitimacy by stating a necessary condition that must be satisfied for authority to be legitimate.,"According to this definition, is malfunction performance?",no,no.,no,True
189,Abstract Properties,Adaptability,Define what availability is.,"According to this definition, is adaptability about adjusting to change?",yes,yes.,yes,True
190,Abstract Properties,Adaptability,Define what an equation is.,"According to this definition, is inability to adjust adaptability?",no,yes.,yes,False
191,Abstract Properties,Durability,Define what an odd number is.,"According to this definition, is durability about long-lasting use?",yes,yes.,yes,True
192,Abstract Properties,Durability,Define what encryption is.,"According to this definition, is fragility durability?",no,no.,no,True
193,Abstract Properties,Precision,Define what a mineral is.,"According to this definition, is precision about exactness?",yes,yes.,yes,True
194,Abstract Properties,Precision,Define what food is.,"According to this definition, is vagueness precision?",no,no.,no,True
195,Abstract Properties,Availability,Define what a plan is.,"According to this definition, is availability about being accessible when needed?",yes,yes.,yes,True
196,Abstract Properties,Availability,Define what encryption is.,"According to this definition, is constant unavailability availability?",no,no.,no,True
197,Abstract Properties,Responsiveness,Define what a triangle is.,"According to this definition, is responsiveness about quick reaction?",yes,yes,yes,True
198,Abstract Properties,Responsiveness,Define what a cutting tool is.,"According to this definition, is slow reaction responsiveness?",no,no,no,True
199,Abstract Properties,Efficiency (Process),Define what a decimal number is.,"According to this definition, is reducing wasted steps process efficiency?",yes,yes,yes,True
200,Abstract Properties,Efficiency (Process),Define what evaporation is.,"According to this definition, is adding unnecessary steps process efficiency?",no,no,no,True
201,Mathematics & Logic,Prime Number,Define cooperation by stating a necessary condition that must be satisfied for cooperation to occur.,"According to this definition, is 7 a prime number?",yes,yes.,yes,True
202,Mathematics & Logic,Prime Number,Define what a vehicle engine is.,"According to this definition, is 9 a prime number?",no,no.,no,True
203,Mathematics & Logic,Even Number,Define what an angle is.,"According to this definition, is 10 an even number?",yes,yes,yes,True
204,Mathematics & Logic,Even Number,Define what a reptile is.,"According to this definition, is 7 an even number?",no,no.,no,True
205,Mathematics & Logic,Odd Number,Define portability by stating a condition that must be met for a system to be considered portable.,"According to this definition, is 5 an odd number?",yes,yes.,yes,True
206,Mathematics & Logic,Odd Number,Define exploitation by stating a necessary condition that must be satisfied for an action to count as exploitation.,"According to this definition, is 8 an odd number?",no,no,no,True
207,Mathematics & Logic,Integer,Define what validation is.,"According to this definition, is -3 an integer?",yes,yes.,yes,True
208,Mathematics & Logic,Integer,Define what workflow automation is.,"According to this definition, is 2.5 an integer?",no,no,no,True
209,Mathematics & Logic,Rational Number,Define what scalability is.,"According to this definition, is 1/2 a rational number?",yes,yes.,yes,True
210,Mathematics & Logic,Rational Number,Define what usability is.,"According to this definition, is √2 a rational number?",no,no,no,True
211,Mathematics & Logic,Triangle,Define what a tool is.,"According to this definition, does a triangle have three sides?",yes,yes.,yes,True
212,Mathematics & Logic,Triangle,Define fault tolerance by stating a condition that must be met for a system to be fault tolerant.,"According to this definition, does a triangle have four sides?",no,no.,no,True
213,Mathematics & Logic,Square,Define compassion by stating a necessary condition that must be satisfied for an action to be compassionate.,"According to this definition, does a square have four equal sides?",yes,yes.,yes,True
214,Mathematics & Logic,Square,Define fairness by stating at least one necessary condition that must be satisfied for something to be fair.,"According to this definition, does a square have three sides?",no,no,no,True
215,Mathematics & Logic,Factor,Define what an animal is.,"According to this definition, is 3 a factor of 12?",yes,yes,yes,True
216,Mathematics & Logic,Factor,Define what testing is.,"According to this definition, is 5 a factor of 12?",no,yes,yes,False
217,Mathematics & Logic,Multiple,Define what stability is.,"According to this definition, is 12 a multiple of 3?",yes,yes,yes,True
218,Mathematics & Logic,Multiple,Define what a reptile is.,"According to this definition, is 7 a multiple of 3?",no,no,no,True
219,Mathematics & Logic,Set,Define what a plant is.,"According to this definition, is a collection of distinct elements a set?",yes,yes.,yes,True
220,Mathematics & Logic,Set,Define what process efficiency is.,"According to this definition, is an ordered pair necessarily a set?",no,no.,no,True
221,Mathematics & Logic,Subset,Define what a modern weapon is.,"According to this definition, is {1,2} a subset of {1,2,3}?",yes,yes.,yes,True
222,Mathematics & Logic,Subset,Define what a derivative is.,"According to this definition, is {1,4} a subset of {1,2,3}?",no,yes,yes,False
223,Mathematics & Logic,Equation,Define what an inequality is.,"According to this definition, is x + 2 = 5 an equation?",yes,yes.,yes,True
224,Mathematics & Logic,Equation,Define what availability is.,"According to this definition, is x + 2 an equation?",no,yes.,yes,False
225,Mathematics & Logic,Inequality,Define empathy by stating a necessary condition that must be satisfied for someone to be considered empathetic.,"According to this definition, is x > 3 an inequality?",yes,yes.,yes,True
226,Mathematics & Logic,Inequality,Define what an instruction is.,"According to this definition, is x = 3 an inequality?",no,no,no,True
227,Mathematics & Logic,Function,Define what reliability is.,"According to this definition, is a rule assigning one output to each input a function?",yes,yes.,yes,True
228,Mathematics & Logic,Function,Define what acceleration is.,"According to this definition, is a relation with multiple outputs for one input a function?",no,no,no,True
229,Mathematics & Logic,Derivative,Define what an instruction is.,"According to this definition, is a derivative a measure of rate of change?",yes,yes,yes,True
